"GeneNames"	"value1"	"value2"	"log2(Fold_change)"	"log2(Fold_change) normalized"	"p-value"	"q-value(Benjamini et al. 1995)"	"q-value(Storey et al. 2003)"	"Signature(p-value < 0.001)"
110	68	360	-2.40439025507933	-2.16445651118474	0	0	0	1
192	209	695	-1.73351003552999	-1.4935762916354	0	0	0	1
393	705	288	1.29155444584384	1.53148818973844	0	0	0	1
182	291	150	0.956056652412403	1.195990396307	0	0	0	1
95	179	2057	-3.52251030126068	-3.28257655736608	0	0	0	1
707	687	389	0.820539943831907	1.0604736877265	0	0	0	1
144	86	548	-2.67176732825843	-2.43183358436384	0	0	0	1
446	645	413	0.64315737889117	0.883091122785762	0	0	0	1
134	221	594	-1.42641656140933	-1.18648281751474	0	0	0	1
247	251	994	-1.98555848761151	-1.74562474371692	0	0	0	1
1035	1224	574	1.09248091601696	1.33241465991156	0	0	0	1
131	218	607	-1.47736838147876	-1.23743463758416	0	0	0	1
1583	1503	424	1.82570883935317	2.06564258324776	0	0	0	1
90	95	847	-3.15636255100125	-2.91642880710666	0	0	0	1
2206	2174	3733	-0.779983568275762	-0.54004982438117	0	0	0	1
7	6	156	-4.70043971814109	-4.4605059742465	0	0	0	1
152	234	660	-1.49595749466241	-1.25602375076782	0	0	0	1
274	146	403	-1.46481146964795	-1.22487772575336	0	0	0	1
246	141	1277	-3.17899145730393	-2.93905771340934	0	0	0	1
1032	886	393	1.17277738629641	1.412711130191	0	0	0	1
1533	1364	994	0.456525887461886	0.696459631356479	0	0	0	1
2418	2711	644	2.07369251972309	2.31362626361769	0	0	0	1
995	1162	2178	-0.906393885312378	-0.666460141417785	0	0	0	1
1245	686	2875	-2.06728147454629	-1.82734773065169	0	0	0	1
209	227	2252	-3.31044262478931	-3.07050888089472	0	0	0	1
89	192	499	-1.3779335046161	-1.13799976072151	0	0	0	1
159	215	595	-1.46855300860585	-1.22861926471125	0	0	0	1
44	72	280	-1.95935801550266	-1.71942427160806	0	0	0	1
1735	1728	3927	-1.18432438050293	-0.944390636608336	0	0	0	1
162	227	580	-1.35336060272402	-1.11342685882943	0	0	0	1
1459	1760	760	1.21150410519371	1.4514378490883	0	0	0	1
36	21	437	-4.37917204672184	-4.13923830282725	0	0	0	1
141	154	792	-2.36257007938471	-2.12263633549012	0	0	0	1
750	857	377	1.18473068084384	1.42466442473843	0	0	0	1
211	238	926	-1.96005061995229	-1.7201168760577	0	0	0	1
345	260	1388	-2.41642403954981	-2.17649029565521	0	0	0	1
68	146	25	2.54596836910529	2.78590211299989	0	0	0	1
58	105	311	-1.56652525246448	-1.32659150856989	0	0	0	1
638	754	424	0.830500258705465	1.07043400260006	0	0	0	1
176	273	137	0.994725057959326	1.23465880185392	0	0	0	1
610	1263	715	0.820839492121801	1.06077323601639	0	0	0	1
48	19	482	-4.66496182278638	-4.42502807889178	0	0	0	1
1016	722	2026	-1.48856343191397	-1.24862968801937	0	0	0	1
1421	1867	887	1.07371591792514	1.31364966181973	0	0	0	1
149	316	74	2.09432738254815	2.33426112644274	0	0	0	1
477	630	375	0.748461233004036	0.988394976898629	0	0	0	1
469	429	1248	-1.5405683813627	-1.30063463746811	0	0	0	1
235	363	208	0.803386019854659	1.04331976374925	0	0	0	1
5	2	79	-5.3037807481771	-5.06384700428251	0	0	0	1
151	231	1395	-2.59430036530049	-2.3543666214059	0	0	0	1
116	168	560	-1.73696559416621	-1.49703185027161	0	0	0	1
454	765	1597	-1.06183265983122	-0.821898915936625	0	0	0	1
732	903	2900	-1.68325500742144	-1.44332126352685	0	0	0	1
7	13	280	-4.42884329880387	-4.18890955490928	0	0	0	1
984	1146	2378	-1.05314167098875	-0.813207927094158	0	0	0	1
551	700	1463	-1.06350294230616	-0.823569198411566	0	0	0	1
462	511	313	0.707160634005003	0.947094377899596	0	0	0	1
1736	2299	3941	-0.777555283419654	-0.537621539525061	0	0	0	1
76	22	757	-5.10471787134844	-4.86478412745384	0	0	0	1
1715	1791	3066	-0.775592359672816	-0.535658615778223	0	0	0	1
400	391	824	-1.07547572987587	-0.835541985981273	0	0	0	1
305	366	1061	-1.53550910263072	-1.29557535873613	0	0	0	1
252	499	1534	-1.62018676216567	-1.38025301827108	0	0	0	1
712	533	222	1.26357585640907	1.50350960030366	0	0	0	1
25	10	269	-4.74953426766926	-4.50960052377467	0	0	0	1
509	823	294	1.48507627558526	1.72501001947985	0	0	0	1
891	1034	1928	-0.898868865915027	-0.658935122020434	0	0	0	1
6	4	153	-5.25738784269265	-5.01745409879806	0	0	0	1
3	151	31	2.2842084289382	2.5241421728328	0	0	0	1
8	10	119	-3.57288966842058	-3.33295592452599	0	0	0	1
488	432	964	-1.15800183406649	-0.9180680901719	0	0	0	1
2811	2255	5826	-1.3693782679976	-1.12944452410301	0	0	0	1
88	150	18	3.05889368905357	3.29882743294816	0	0	0	1
72	149	570	-1.93564958858994	-1.69571584469535	0	0	0	1
2840	2794	4847	-0.794760061756936	-0.554826317862343	0	0	0	1
288	244	771	-1.65984971235215	-1.41991596845756	0	0	0	1
1823	1623	2654	-0.709505370822221	-0.469571626927628	0	0	0	1
895	976	751	0.378068240048615	0.618001983943207	0	0	0	1
17	23	446	-4.27733794386329	-4.0374041999687	0	0	0	1
491	419	243	0.785993930093571	1.02592767398816	0	0	0	1
1349	994	435	1.1922304508262	1.43216419472079	0	0	0	1
721	823	1593	-0.952781931103685	-0.712848187209092	0	0	0	1
907	1152	2836	-1.2997168157972	-1.05978307190261	0	0	0	1
527	924	488	0.921011703853171	1.16094544774776	0	0	0	1
963	1329	1075	0.306004444799351	0.545938188693943	0	0	0	1
465	788	157	2.32743107056475	2.56736481445934	0	0	0	1
19	28	250	-3.15842936260448	-2.91849561870989	0	0	0	1
459	566	328	0.787106238213799	1.02703998210839	0	0	0	1
228	154	3445	-4.48350172689675	-4.24356798300216	0	0	0	1
4044	3671	865	2.08540107657546	2.32533482047005	0	0	0	1
168	224	532	-1.24792751344359	-1.00799376954899	0	0	0	1
796	516	1251	-1.27763881874257	-1.03770507484797	0	0	0	1
1617	1890	1025	0.882762324715626	1.12269606861022	0	0	0	1
997	1409	940	0.583938949744637	0.823872693639229	0	0	0	1
107	194	35	2.47062982524216	2.71056356913675	0	0	0	1
94	56	241	-2.10553441417236	-1.86560067027777	0	0	0	1
187	261	119	1.13308823326194	1.37302197715653	0	0	0	1
133	306	142	1.10764072318797	1.34757446708256	0	0	0	1
2126	1015	7452	-2.8761479468691	-2.63621420297451	0	0	0	1
111	130	556	-2.09657325969505	-1.85663951580046	0	0	0	1
171	94	894	-3.24954216950568	-3.00960842561109	0	0	0	1
7287	8401	8148	0.044115086774859	0.284048830669452	0	0	0	1
211	391	34	3.52356195605701	3.76349569995161	0	0	0	1
376	410	870	-1.08539149123065	-0.845457747336053	0	0	0	1
670	939	426	1.14027172742794	1.38020547132253	0	0	0	1
491	587	225	1.38343550189301	1.62336924578761	0	0	0	1
