Control_1	Control_2	Control_3	Patient_1	Patient_2	Patient_3
ATP6V0A2	248	258	460	262	366	223
ATP6V0A4	0	0	0	0	0	1
ATP6V0B	251	240	294	154	107	90
ATP6V0C	765	824	529	415	391	400
ATP6V0CP3	0	0	0	0	0	1
ATP6V0D1	1244	1061	485	363	366	305
ATP6V0D2	1	0	3	2	0	0
ATP6V0E1	398	350	324	209	224	189
ATP6V0E2	6	5	4	3	3	4
ATP6V0E2-AS1	2	2	10	1	1	2
ATP6V1A	399	512	343	224	271	153
ATP6V1B1	0	0	0	0	0	0
ATP6V1B2	1392	1534	737	517	499	252
ATP6V1C1	579	378	197	205	297	189
ATP6V1C2	248	222	310	565	533	712
ATP6V1D	88	127	90	67	71	64
ATP6V1E1	178	205	156	173	213	153
ATP6V1E2	15	11	18	3	5	6
ATP6V1F	122	106	85	114	79	107
ATP6V1G1	207	212	135	141	151	150
ATP6V1G2	3	1	4	2	2	3
ATP6V1G2-DDX39B	0	0	0	0	0	0
ATP6V1G3	0	0	0	0	0	0
ATP6V1H	250	195	111	128	129	143
ATP7A	162	186	228	48	83	44
ATP7B	4	0	6	0	1	0
ATP8A1	304	262	494	372	297	425
ATP8A2	1	3	5	1	1	0
ATP8B1	19	5	11	3	33	6
ATP8B2	65	80	222	27	49	33
ATP8B3	1	4	0	0	0	3
ATP8B4	118	269	312	29	10	25
ATP8B5P	1	0	1	1	0	1
ATP9A	25	22	24	28	10	16
ATP9B	218	188	202	123	241	109
ATPAF1	29	31	25	11	22	17
ATPAF2	29	28	47	21	44	12
ATPIF1	56	71	127	38	74	30
ATR	380	294	664	536	823	509
ATRAID	72	45	138	61	69	89
ATRIP	11	5	18	28	32	23
ATRN	111	119	45	28	58	36
ATRNL1	5	3	4	2	10	0
ATRX	1171	925	996	402	565	509
ATXN1	120	174	200	27	47	21
ATXN10	130	115	172	71	121	65
ATXN1L	696	425	568	519	441	621
ATXN2	232	248	205	92	178	98
ATXN2L	616	526	729	347	482	320
ATXN3	149	146	145	89	128	84
ATXN3L	0	0	0	0	0	0
ATXN7	1727	1928	2709	909	1034	891
ATXN7L1	130	130	261	155	154	160
ATXN7L2	11	12	3	8	15	17
ATXN7L3	185	146	150	141	97	84
ATXN7L3B	309	262	469	550	394	480
ATXN8OS	0	0	0	0	0	0
AUH	28	18	86	12	28	13
AUNIP	6	10	26	2	3	7
AUP1	368	239	175	272	258	292
AURKA	59	153	183	11	4	6
AURKAIP1	32	28	77	23	19	22
AURKAPS1	62	41	31	36	83	46
AURKB	0	3	6	0	0	0
AURKC	2	1	2	8	8	12
AUTS2	147	276	75	94	116	64
AVEN	21	21	27	7	9	13
AVIL	21	32	17	19	34	17
AVL9	184	160	228	211	285	150
AVP	0	0	0	0	1	0
AVPI1	44	60	36	9	6	9
AVPR1A	9	0	1	1	3	6
AVPR1B	1	0	0	1	0	0
AVPR2	3	1	0	0	3	1
AWAT1	0	0	0	0	0	0
AWAT2	0	0	0	0	0	0
AXDND1	1	0	2	0	1	4
AXIN1	106	110	109	93	61	69
AXIN2	55	31	131	131	151	3
AXL	13	119	61	5	10	8
AZGP1	0	0	0	0	0	0
AZI1	23	8	14	9	13	9
AZI2	106	183	70	55	52	37
AZIN1	875	964	557	433	432	488
AZU1	1	4	0	1	0	0
B2M	5887	5826	7715	2219	2255	2811
B3GALNT1	2	2	2	3	8	2
B3GALNT2	148	131	137	60	92	101
B3GALT1	0	0	0	1	0	0
B3GALT2	41	34	47	17	84	37
B3GALT4	5	5	13	2	11	2
B3GALT5	0	0	1	0	0	0
B3GALT6	64	19	23	34	70	41
B3GALTL	35	18	31	116	150	88
B3GAT1	2	12	9	0	1	3
B3GAT2	12	13	8	5	7	5
B3GAT3	11	16	36	38	25	21
B3GNT1	0	3	0	0	1	0
B3GNT2	190	158	117	66	48	56
B3GNT3	0	0	15	0	1	0
B3GNT4	1	2	2	0	0	0
B3GNT5	574	570	177	316	149	72
B3GNT6	0	0	0	0	0	0
B3GNT7	242	259	122	82	90	46
B3GNT8	0	2	1	1	0	0
B3GNT9	21	13	15	11	16	8
B3GNTL1	36	50	29	13	25	18
B4GALNT1	0	0	1	0	0	0
B4GALNT2	0	0	0	0	0	0
B4GALNT3	2	0	1	0	0	0
B4GALNT4	0	0	0	0	1	0
B4GALT1	5061	4847	3639	2925	2794	2840
B4GALT2	2	4	6	1	1	3
B4GALT3	35	34	56	17	24	14
B4GALT4	112	138	93	54	73	75
B4GALT5	1085	771	591	410	244	288
B4GALT6	15	32	20	5	1	4
B4GALT7	9	6	13	34	45	19
B9D1	4	3	2	2	9	2
B9D2	12	6	7	10	12	22
BAALC	5	1	2	5	4	4
BAALCOS	1	1	0	0	0	0
BAAT	3	1	1	0	2	3
BABAM1	68	50	68	29	55	39
BACE1	36	50	2	9	10	3
BACE1-AS	6	2	0	0	5	2
BACE2	113	90	229	47	85	63
BACH1	4144	2654	2371	1533	1623	1823
BACH2	2298	751	3126	725	976	895
BAD	14	8	0	2	5	6
BAG1	320	317	277	246	221	181
BAG2	43	9	47	28	28	16
BAG3	329	446	205	35	23	17
BAG4	100	74	105	76	86	63
BAG5	416	243	414	461	419	491
BAG6	387	332	403	194	201	203
BAGE2	0	0	0	1	0	0
BAHCC1	12	14	4	2	0	1
BAHD1	72	61	78	87	103	81
BAI1	5	0	0	5	2	0
BAI2	0	1	4	1	0	0
BAI3	3	2	0	0	0	0
BAIAP2	32	80	20	14	9	7
BAIAP2-AS1	4	16	10	2	1	0
BAIAP2L1	30	47	31	55	48	32
BAIAP2L2	0	2	0	0	0	2
BAIAP3	35	18	15	16	47	19
BAK1	91	52	97	40	55	37
BAMBI	13	15	32	9	10	9
BANF1	152	69	75	49	66	69
BANF2	0	0	0	0	0	0
BANK1	3197	435	1626	826	994	1349
BANP	134	118	76	131	241	133
BAP1	121	126	181	171	185	170
BARD1	69	70	84	66	84	36
BARHL1	0	0	1	0	0	0
BARHL2	0	1	0	0	0	0
BARX1	0	0	0	1	0	4
BARX2	0	0	0	0	0	0
BASP1	1858	1593	1447	923	823	721
BASP1P1	0	1	0	0	0	0
BATF	13	12	7	3	13	4
BATF2	1	1	0	0	0	0
BATF3	6	10	33	0	1	3
BAX	17	20	25	5	8	3
BAZ1A	2999	2836	1114	1045	1152	907
BAZ1B	644	488	642	753	924	527
BAZ2A	1537	1075	1681	1265	1329	963
BAZ2B	989	1268	1119	739	787	642
BBC3	3	7	0	0	1	3
BBIP1	375	308	393	372	421	338
BBOX1	0	0	0	0	0	0
BBS1	14	11	2	4	13	4
BBS10	16	56	41	13	31	23
BBS12	6	1	4	6	5	12
BBS2	45	43	67	127	117	89
BBS4	21	23	11	26	37	32
BBS5	0	0	0	2	6	3
BBS7	38	23	60	21	33	12
BBS9	219	165	258	129	129	139
BBX	1208	838	932	615	681	641
BCAM	0	0	0	0	0	0
BCAN	0	1	0	0	0	0
BCAP29	78	109	104	120	99	50
BCAP31	58	79	135	30	33	24
BCAR1	0	0	0	0	0	0
BCAR3	80	57	134	91	75	38
BCAR4	0	0	0	1	0	0
BCAS1	11	10	12	3	11	1
BCAS2	424	173	295	120	116	134
BCAS3	204	167	286	58	83	72
BCAS4	16	7	15	6	10	3
BCAT1	158	140	25	79	45	40
BCAT2	15	8	22	4	8	5
BCCIP	177	148	181	173	201	169
BCDIN3D	12	10	34	24	35	11
BCDIN3D-AS1	5	2	9	5	15	2
BCHE	0	0	1	0	0	0
BCKDHA	21	15	7	12	15	11
BCKDHB	35	34	72	7	14	14
BCKDK	38	34	19	18	12	4
BCL10	309	267	361	154	206	184
BCL11A	559	157	468	459	788	465
BCL11B	43	250	542	33	28	19
BCL2	880	328	879	381	566	459
BCL2A1	3228	3445	699	381	154	228
BCL2L1	28	40	29	70	30	49
BCL2L10	9	3	0	9	15	9
BCL2L11	1323	865	798	2548	3671	4044
BCL2L12	8	6	12	4	6	2
BCL2L13	183	222	85	87	134	56
BCL2L14	1	0	0	0	3	0
BCL2L15	7	17	14	9	51	15
BCL2L2	35	34	18	6	24	10
BCL2L2-PABPN1	0	0	0	0	0	0
BCL3	378	532	261	217	224	168
BCL6	1713	1251	1689	872	516	796
BCL6B	6	1	3	3	6	4
BCL7A	97	55	104	178	137	268
BCL7B	225	161	262	195	135	252
BCL7C	2	5	1	1	4	1
BCL9	41	61	104	34	17	23
BCL9L	429	586	608	320	373	419
BCLAF1	3132	2384	2568	2608	2177	2983
BCMO1	0	0	0	0	0	0
BCO2	8	8	0	1	1	1
BCOR	1371	1025	886	1684	1890	1617
BCORL1	158	137	142	20	36	15
BCORP1	0	20	0	4	0	0
BCR	76	105	95	43	34	43
BCRP2	1	7	3	1	1	1
BCRP3	1	3	2	1	0	0
BCS1L	24	11	10	24	41	18
BCYRN1	0	9	0	1	0	1
BDH1	22	12	5	9	13	9
BDH2	22	16	8	47	43	41
BDKRB1	0	0	0	0	0	0
BDKRB2	0	0	1	0	2	0
BDNF	3	0	0	0	1	1
BDNF-AS	1	0	0	0	0	0
BDP1	1296	940	1219	1135	1409	997
BEAN1	0	0	0	0	2	0
BECN1	148	85	101	136	158	150
BEGAIN	0	7	0	1	4	0
BEND2	12	1	1	24	26	9
BEND3	107	59	68	79	60	66
BEND3P3	20	34	43	10	47	8
BEND4	312	35	156	136	194	107
BEND5	24	5	15	22	11	21
BEND6	1	10	1	0	0	0
BEND7	0	0	1	1	5	2
BEST1	171	241	302	160	56	94
BEST2	0	0	0	0	0	1
BEST3	1	0	0	0	0	0
BEST4	1	2	1	3	2	3
BET1	26	20	22	22	51	27
BET1L	149	119	121	211	261	187
BEX1	8	4	0	9	4	6
BEX2	100	40	77	76	94	92
BEX4	66	86	67	110	81	113
BEX5	2	3	4	0	1	0
BFAR	186	142	168	140	306	133
BFSP1	1	6	2	3	1	1
BFSP2	0	0	0	0	0	1
BFSP2-AS1	0	1	12	0	2	0
BGLAP	0	0	0	0	0	0
BGN	0	0	0	0	0	0
BHLHA15	0	0	0	0	0	0
BHLHA9	0	0	0	0	0	0
BHLHB9	4	4	11	0	2	2
BHLHE22	0	0	1	0	1	0
BHLHE23	0	0	0	0	0	0
BHLHE40	4356	7452	5431	2399	1015	2126
BHLHE40-AS1	0	1	1	0	3	3
BHLHE41	151	29	61	23	58	15
BHMT	0	0	0	1	2	0
BHMT2	0	0	0	0	1	0
BICC1	5	11	9	0	0	1
BICD1	166	62	115	26	31	13
BICD2	219	209	158	121	177	94
BID	488	556	153	109	130	111
BIK	0	4	1	0	1	0
BIN1	123	130	142	39	89	52
BIN2	526	894	676	140	94	171
BIN3	49	30	64	43	44	52
BIN3-IT1	10	5	1	11	16	11
BIRC2	1467	956	927	657	820	965
BIRC3	17023	8148	14108	5283	8401	7287
BIRC5	3	5	1	3	0	0
BIRC6	2513	1904	2189	1260	2057	1175
BIRC7	0	0	0	0	1	0
BIRC8	0	0	1	0	0	0
BIVM	3	19	12	3	6	7
BIVM-ERCC5	0	0	0	0	0	0
BLACAT1	0	0	0	0	0	0
BLACE	7	3	0	0	0	0
BLCAP	167	114	210	174	227	171
BLID	0	0	0	0	0	0
BLK	216	34	219	217	391	211
BLM	67	43	49	69	90	58
BLMH	35	77	67	58	48	48
BLNK	317	156	237	96	95	130
BLOC1S1	14	24	17	7	0	9
BLOC1S1-RDH5	0	0	0	0	0	0
BLOC1S2	140	94	102	181	156	142
BLOC1S3	51	50	96	60	63	46
BLOC1S4	32	23	54	31	37	28
BLOC1S5	0	0	0	0	0	0
BLOC1S5-TXNDC5	0	0	0	0	0	0
BLOC1S6	877	870	529	409	410	376
BLVRA	79	87	48	19	14	13
BLVRB	56	49	28	20	7	13
BLZF1	40	49	82	50	41	54
BMF	407	314	260	432	377	297
BMI1	1	3	2	3	3	3
BMP1	7	4	15	2	3	0
BMP10	0	0	0	0	0	1
BMP15	0	0	1	1	0	0
BMP2	2	3	1	1	0	1
BMP2K	882	426	1011	586	939	670
BMP3	1	1	0	4	1	1
BMP4	1	0	0	0	0	0
BMP5	0	0	1	0	0	0
BMP6	48	33	4	33	50	35
BMP7	0	0	0	0	0	0
BMP8A	28	42	71	37	57	15
BMP8B	20	4	5	1	18	13
BMPER	0	0	3	0	0	1
BMPR1A	31	17	17	8	20	11
BMPR1B	0	2	1	0	0	0
BMPR2	369	356	404	136	243	171
BMS1	220	225	182	519	587	491
BMS1P17	0	0	0	0	0	0
BMS1P18	0	0	0	0	0	0
BMS1P2	4	7	6	6	18	5
BMS1P20	186	112	169	61	69	53
BMS1P4	16	4	17	36	38	31
BMS1P5	9	13	11	8	32	12
BMS1P6	121	63	99	115	245	104
BMX	1	15	4	1	0	0
BNC1	0	0	1	0	0	0
BNC2	24	66	4	6	0	15
BNIP1	8	5	3	12	16	13
BNIP2	574	512	384	366	372	341
BNIP3	27	21	32	8	36	13
BNIP3L	722	675	539	623	259	598
BNIPL	1	1	14	2	2	2
BOC	1	1	1	0	0	1
BOD1	86	51	61	59	80	77
BOD1L1	1870	1541	1515	1993	2671	2003
BOD1L2	0	0	0	0	0	0
BOK	0	0	0	0	0	0
BOK-AS1	0	0	0	0	2	1
BOLA1	5	1	0	1	4	0
BOLA2	10	6	7	3	4	4
BOLA2B	0	0	0	0	0	0
BOLA3	2	4	5	4	7	3
BOLA3-AS1	43	31	39	49	47	39
BOLL	3	0	2	2	2	0
BOP1	18	11	5	14	21	19
BORA	45	37	58	32	106	51
BPGM	54	84	51	43	16	41
BPHL	10	8	8	13	19	8
BPI	22	110	10	22	2	5
BPIFA3	0	0	0	0	0	0
BPIFB1	0	0	0	0	0	0
BPIFB2	0	0	0	0	0	0
BPIFB4	0	0	1	0	0	0
BPIFB6	0	0	0	0	0	0
BPIFC	1	4	11	0	0	0
BPNT1	16	13	61	12	14	5
BPTF	4013	2697	2874	2176	3652	2388
BRAF	1792	1045	837	1554	2393	1347
BRAP	204	210	277	373	299	331
BRAT1	68	21	77	46	73	49
BRCA1	29	34	14	8	13	10
BRCA2	165	103	138	151	161	138
BRCC3	56	87	31	64	111	58
BRD1	406	323	521	279	378	344
BRD2	3346	3545	3787	1418	1409	1403
BRD3	130	109	141	70	137	52
BRD4	871	675	768	636	811	590
BRD7	210	151	121	176	212	252
BRD7P3	17	13	7	4	9	2
BRD8	88	69	95	74	174	88
BRD9	77	41	45	75	96	79
BRDT	0	2	0	0	0	0
BRE	97	116	84	51	71	59
BRE-AS1	1535	2106	1005	185	100	109
BREA2	0	0	0	0	1	2
BRF1	41	29	29	21	35	24
BRF2	5	24	3	10	14	8
BRI3	141	188	41	120	61	98
BRI3BP	25	18	14	9	6	11
BRICD5	1	2	6	1	2	3
BRINP1	0	0	0	0	0	0
BRINP2	0	0	1	0	0	0
BRINP3	0	0	0	0	0	0
BRIP1	11	14	28	8	8	8
BRIX1	67	54	74	170	144	176
BRK1	172	198	255	195	189	184
BRMS1	23	29	63	30	43	44
BRMS1L	58	31	75	16	24	30
BROX	163	213	325	119	169	113
BRPF1	103	98	154	132	118	116
BRPF3	531	413	495	306	268	177
BRS3	0	0	1	0	0	1
BRSK1	0	5	2	0	0	0
BRSK2	4	1	1	1	3	1
BRWD1	816	815	1050	461	526	399
BRWD1-AS1	0	0	0	0	1	0
BRWD1-IT2	1	0	1	0	2	1
BRWD3	668	629	683	427	415	457
BSCL2	7	2	7	2	7	0
BSDC1	123	123	128	104	103	108
BSG	256	247	301	184	81	156
BSN	4	4	8	3	8	5
BSN-AS2	0	0	0	0	0	0
BSND	0	0	1	0	0	0
BSPH1	0	0	0	0	0	0
BSPRY	3	5	2	2	8	2
BST1	91	72	14	13	7	12
BST2	43	44	37	8	9	8
BSX	0	0	0	0	0	0
BTAF1	2239	1774	1676	1841	1715	1731
BTBD1	260	244	269	317	375	324
BTBD10	85	86	69	101	99	107
BTBD11	11	26	46	10	0	5
BTBD16	0	0	0	0	0	0
BTBD17	0	0	0	0	0	0
BTBD18	36	22	25	37	73	29
BTBD19	87	105	134	15	17	8
BTBD2	69	48	73	24	34	39
BTBD3	31	76	41	53	20	32
BTBD6	61	57	83	53	56	52
BTBD7	463	548	359	272	348	162
BTBD8	0	2	3	0	1	0
BTBD9	257	204	387	162	282	127
BTC	0	1	0	0	0	0
BTD	90	121	197	27	25	33
BTF3	628	535	496	564	619	677
BTF3L4	535	449	436	706	678	739
BTF3P11	0	0	0	0	0	0
BTG1	5911	3224	4260	3057	2824	4297
BTG2	4807	5655	6127	2924	2405	2375
BTG3	177	136	119	72	34	79
BTG4	0	0	0	1	0	0
BTK	343	238	252	108	134	104
BTLA	164	39	224	205	440	208
BTN1A1	0	0	0	2	2	0
BTN2A1	294	225	154	117	151	87
BTN2A2	433	138	198	218	335	251
BTN2A3P	9	5	0	3	5	7
BTN3A1	398	546	732	258	334	328
BTN3A2	227	175	194	45	104	84
BTN3A3	101	156	135	75	79	51
BTNL10	0	0	0	0	4	1
BTNL2	2	0	0	0	0	1
BTNL3	1	0	0	1	3	6
BTNL8	1	0	0	8	0	0
BTNL9	19	0	7	9	1	3
BTRC	121	79	207	53	98	49
BUB1	17	16	49	12	12	12
BUB1B	7	19	0	9	2	7
BUB3	222	249	265	192	222	185
BUD13	49	58	55	90	90	102
BUD31	143	93	120	109	123	141
BVES	0	0	0	1	0	1
BVES-AS1	0	0	0	0	0	0
BX255923.3	1	0	0	0	0	1
BYSL	10	18	4	23	32	18
BZRAP1	60	94	98	47	44	30
BZRAP1-AS1	215	188	338	148	286	130
BZW1	1464	1164	1358	1112	781	1107
BZW2	95	165	208	63	82	110
C10orf10	1	3	0	0	1	0
C10orf105	5	11	20	4	0	0
C10orf107	0	0	0	0	0	0
C10orf11	16	15	13	0	0	0
C10orf111	4	3	5	17	2	13
C10orf113	0	0	0	0	0	0
C10orf115	0	0	0	0	0	0
C10orf118	457	503	684	397	471	417
C10orf12	342	294	160	272	303	237
C10orf120	0	0	0	0	0	0
C10orf126	0	0	0	0	0	0
C10orf128	187	192	193	80	62	21
C10orf129	1	1	0	0	3	0
C10orf131	2	1	0	0	2	1
C10orf2	41	22	18	48	103	67
C10orf25	11	5	0	5	6	1
C10orf32	72	59	28	18	31	14
C10orf32-ASMT	0	0	0	0	0	0
C10orf35	0	0	3	3	1	1
C10orf40	0	0	0	0	0	0
C10orf54	237	384	487	105	133	166
C10orf55	4	1	0	20	1	9
C10orf62	0	0	0	0	0	0
C10orf67	0	1	0	0	0	0
C10orf71	0	0	2	0	0	0
C10orf76	203	209	214	79	98	85
C10orf82	1	5	13	0	0	1
C10orf88	20	18	50	23	25	22
C10orf91	1	5	1	0	1	0
C10orf95	3	2	11	0	7	3
C10orf99	0	0	0	0	0	0
C11orf1	7	11	23	10	10	5
C11orf16	1	0	0	1	0	0
C11orf21	20	38	31	4	4	6
C11orf24	92	75	65	103	161	79
C11orf30	296	213	199	189	337	155
C11orf31	58	44	45	45	59	49
C11orf35	1	1	0	1	0	4
C11orf40	0	0	0	0	0	0
C11orf42	0	2	0	1	0	0
C11orf44	0	0	0	0	0	0
C11orf45	0	1	0	0	0	0
C11orf48	6	15	13	7	5	4
C11orf49	17	10	10	2	10	4
C11orf52	0	0	0	0	0	0
C11orf53	0	0	0	0	0	0
C11orf54	54	43	75	45	63	25
C11orf57	48	61	110	99	116	106
C11orf58	415	286	377	363	396	384
C11orf63	12	13	6	10	2	2
C11orf65	1	0	0	0	0	2
C11orf68	15	8	41	14	18	8
C11orf70	0	0	0	0	0	0
C11orf71	45	61	68	33	19	32
C11orf73	44	44	65	46	46	29
C11orf74	4	15	1	1	1	1
C11orf80	69	10	49	14	27	36
C11orf82	22	14	102	10	38	20
C11orf83	15	11	2	8	13	12
C11orf84	29	31	38	3	10	3
C11orf85	3	0	2	1	1	2
C11orf86	0	0	0	0	0	0
C11orf87	0	0	3	0	0	0
C11orf91	0	0	0	0	0	1
C11orf94	0	0	0	0	0	0
C11orf95	34	42	39	19	22	10
C11orf96	5	3	5	1	0	2
C12orf10	26	42	60	18	20	21
C12orf23	180	172	107	82	72	68
C12orf29	50	32	24	40	76	44
C12orf36	0	0	0	0	0	0
C12orf39	0	0	0	0	0	0
C12orf4	40	53	53	63	65	74
C12orf40	0	0	0	1	0	0
C12orf42	71	15	76	93	121	93
C12orf43	11	24	22	46	48	47
C12orf44	95	84	157	41	53	30
C12orf45	18	47	37	20	31	33
C12orf49	130	93	180	152	203	130
C12orf5	113	134	81	123	201	60
C12orf50	0	1	0	0	0	0
C12orf54	0	0	0	0	0	0
C12orf55	0	0	0	0	0	0
C12orf56	0	0	0	1	0	0
C12orf57	29	23	56	28	13	23
C12orf60	19	6	4	10	19	6
C12orf61	12	20	18	14	2	8
C12orf65	82	63	102	47	76	47
C12orf66	39	15	96	43	63	24
C12orf68	5	3	0	2	1	2
C12orf71	1	4	16	3	5	2
C12orf73	28	38	51	28	51	49
C12orf74	9	4	3	7	41	14
C12orf75	34	97	94	21	21	25
C12orf76	127	54	151	77	184	55
C12orf77	1	0	0	0	0	0
C12orf79	13	15	32	21	49	12
C12orf80	0	1	0	0	0	0
C13orf35	0	1	0	0	0	0
C13orf45	0	0	0	2	0	0
C14orf1	39	59	53	42	25	35
C14orf105	1	0	0	1	2	2
C14orf119	177	175	163	45	117	41
C14orf132	1	2	1	4	3	1
C14orf142	16	17	5	5	10	8
C14orf159	98	64	94	18	11	18
C14orf164	2	3	30	0	5	1
C14orf166	113	103	180	95	110	104
C14orf166B	0	0	0	0	0	0
C14orf169	60	42	131	38	48	44
C14orf177	1	0	0	0	0	0
C14orf178	0	3	8	1	1	4
C14orf180	0	0	0	0	0	0
C14orf182	56	31	26	39	61	47
C14orf183	2	0	2	0	1	2
C14orf2	116	157	146	98	111	110
C14orf23	0	0	0	0	0	0
C14orf28	8	2	6	12	19	10
C14orf37	1	0	0	1	1	0
C14orf64	0	8	10	1	0	0
C14orf79	19	21	25	3	15	5
C14orf80	11	3	4	6	8	4
C14orf93	14	22	16	10	1	7
C15orf26	2	1	0	1	3	1
C15orf27	0	0	0	1	1	0
C15orf32	0	0	0	0	0	0
C15orf37	47	66	40	19	8	7
C15orf38	47	45	52	4	1	0
C15orf38-AP3S2	0	0	0	0	0	0
C15orf39	252	432	174	251	144	215
C15orf40	23	16	11	34	50	32
C15orf41	13	11	0	7	11	9
C15orf43	0	1	0	0	0	0
C15orf48	117	123	24	62	6	8
C15orf52	7	12	8	3	4	5
C15orf53	0	1	0	0	0	0
C15orf54	10	2	1	7	12	9
C15orf56	0	0	0	0	0	0
C15orf57	93	98	182	67	61	78
C15orf59	0	0	0	0	0	0
C15orf60	44	42	19	19	24	10
C15orf61	5	3	9	2	6	0
C15orf62	2	2	1	2	10	2
C15orf65	3	1	0	5	4	2
C16orf11	0	0	0	0	0	0
C16orf13	23	21	31	3	5	11
C16orf3	1	0	2	1	1	1
C16orf45	2	1	1	3	1	3
C16orf46	6	2	8	1	13	5
C16orf47	0	0	0	0	0	0
C16orf52	52	39	44	47	87	38
C16orf54	82	168	249	130	114	80
C16orf58	61	48	69	53	81	73
C16orf59	0	0	0	0	0	0
C16orf62	118	138	128	51	54	60
C16orf70	57	79	46	45	76	45
C16orf71	0	1	1	1	2	0
C16orf72	892	1290	1500	263	246	177
C16orf74	8	2	4	11	18	7
C16orf78	0	0	0	0	0	0
C16orf80	67	58	86	127	75	134
C16orf82	0	0	0	1	0	0
C16orf86	2	1	0	0	0	0
C16orf87	35	23	14	29	13	18
C16orf89	0	0	0	0	0	0
C16orf90	0	0	0	0	0	0
C16orf91	41	25	30	26	42	29
C16orf93	14	17	25	9	9	12
C16orf95	2	2	2	1	0	0
C16orf96	0	2	0	1	3	4
C16orf97	0	0	0	0	0	0
C16orf98	8	9	4	1	2	0
C17orf100	4	3	23	2	1	1
C17orf102	0	0	0	0	0	0
C17orf103	65	117	129	32	7	12
C17orf104	8	1	7	7	18	11
C17orf105	0	2	0	0	0	0
C17orf107	93	93	139	31	55	21
C17orf47	2	2	0	3	0	2
C17orf49	0	1	0	3	0	0
C17orf50	0	0	0	0	0	0
C17orf51	32	27	18	18	32	13
C17orf53	22	7	34	16	9	11
C17orf58	2	4	4	12	6	11
C17orf59	15	9	82	3	15	7
C17orf62	96	71	186	74	206	99
C17orf64	0	0	0	0	0	0
C17orf66	0	1	0	1	2	1
C17orf67	13	12	12	4	6	4
C17orf70	9	7	28	5	12	8
C17orf72	52	95	154	45	79	38
C17orf74	0	0	2	0	0	0
C17orf75	20	31	36	28	45	29
C17orf77	5	5	2	6	1	0
C17orf78	2	0	0	0	1	0
C17orf80	36	59	56	30	140	39
C17orf82	0	0	0	0	0	0
C17orf85	405	357	540	395	616	365
C17orf89	3	5	6	16	19	14
C17orf96	52	52	47	7	8	7
C17orf97	4	4	0	1	5	3
C17orf98	0	1	0	1	0	0
C17orf99	0	0	0	0	0	0
C18orf21	42	47	84	115	99	146
C18orf25	354	373	372	297	273	272
C18orf32	1	0	0	0	1	1
C18orf42	0	0	0	0	1	0
C18orf54	9	7	13	13	27	2
C18orf56	0	0	1	1	0	0
C18orf61	0	0	0	0	1	0
C18orf63	0	0	0	0	0	0
C18orf8	244	222	222	193	164	168
C19orf10	26	51	53	28	26	20
C19orf12	39	29	39	45	63	29
C19orf18	6	0	2	3	5	1
C19orf24	31	24	71	15	20	14
C19orf25	11	6	0	2	13	4
C19orf26	11	14	8	1	6	4
C19orf33	0	0	0	0	0	0
C19orf35	4	1	9	4	8	4
C19orf38	37	66	8	11	5	2
C19orf40	2	0	3	4	10	2
C19orf43	246	182	236	173	192	143
C19orf44	34	24	70	23	36	31
C19orf45	2	0	4	23	22	32
C19orf47	12	12	28	8	7	9
C19orf48	20	4	14	9	14	20
C19orf52	5	5	15	5	7	2
C19orf53	63	64	54	69	88	80
C19orf54	50	65	70	44	36	27
C19orf55	17	25	39	23	20	17
C19orf57	0	1	0	0	0	0
C19orf59	319	291	141	58	65	68
C19orf60	10	18	30	16	17	11
C19orf66	72	70	75	78	74	82
C19orf67	0	0	0	0	0	0
C19orf68	4	3	19	0	6	2
C19orf69	0	0	0	0	0	0
C19orf70	8	7	10	4	12	5
C19orf71	18	29	4	10	9	3
C19orf73	0	0	0	3	0	0
C19orf77	0	7	1	2	0	1
C19orf80	0	0	1	0	0	0
C19orf82	1	3	0	2	7	0
C19orf83	1	3	4	1	1	0
C19orf84	1	4	1	0	0	0
C1D	17	21	37	32	14	24
C1GALT1	251	245	298	182	210	179
C1GALT1C1	5	3	9	3	6	1
C1orf100	0	1	1	0	0	0
C1orf101	10	2	2	7	3	2
C1orf105	1	0	0	0	0	0
C1orf106	2	0	0	3	1	0
C1orf109	22	15	21	37	40	28
C1orf110	0	0	0	0	0	0
C1orf111	0	0	0	0	1	0
C1orf112	40	32	32	19	26	18
C1orf115	11	6	9	17	33	39
C1orf116	7	1	0	9	8	0
C1orf122	29	19	22	13	17	11
C1orf123	68	111	193	96	109	80
C1orf127	0	1	0	0	0	0
C1orf131	20	25	50	35	73	36
C1orf140	0	0	0	0	0	0
C1orf141	0	0	0	0	0	0
C1orf145	9	4	7	4	3	3
C1orf146	0	0	0	0	0	0
C1orf158	0	0	0	0	0	0
C1orf159	10	5	12	11	13	4
C1orf162	290	532	360	127	121	151
C1orf167	2	4	3	0	5	0
C1orf168	0	0	0	0	0	0
C1orf172	1	0	0	0	0	2
C1orf173	1	2	0	0	4	0
C1orf174	52	33	103	82	98	62
C1orf177	1	1	0	0	2	0
C1orf180	0	0	0	1	1	0
C1orf185	0	0	0	0	0	0
C1orf186	3	12	34	0	7	0
C1orf189	0	1	0	0	3	0
C1orf192	1	1	1	1	2	2
C1orf194	0	0	0	0	0	0
C1orf195	1	2	0	0	0	0
C1orf198	20	17	22	47	47	19
C1orf200	24	11	61	3	14	3
C1orf204	0	5	25	0	0	1
