Control_1	Control_2	Control_3	Patient_1	Patient_2	Patient_3
ACTA1	1	2	0	1	0	0
ACTA2	6	5	15	0	6	2
ACTA2-AS1	2	1	1	0	1	0
ACTB	11686	16717	18075	5086	4567	4287
ACTBL2	0	0	0	0	0	0
ACTC1	0	0	1	0	0	0
ACTG1	1656	2642	2585	709	695	513
ACTG1P4	1	3	6	6	8	1
ACTG2	0	0	0	0	0	0
ACTL10	0	1	0	0	3	0
ACTL6A	66	21	84	59	88	74
ACTL6B	0	0	0	0	0	0
ACTL7A	0	0	0	1	0	0
ACTL7B	0	0	0	1	0	0
ACTL8	0	0	0	0	0	0
ACTL9	0	0	0	1	0	0
ACTN1	167	238	170	88	51	27
ACTN1-AS1	0	0	0	0	0	0
ACTN2	6	10	0	6	2	4
ACTN3	0	0	0	1	2	0
ACTN4	471	669	591	181	192	171
ACTR10	57	58	74	114	140	122
ACTR1A	341	261	199	121	189	90
ACTR1B	139	109	96	186	165	183
ACTR2	3117	3421	2820	1148	1631	1039
ACTR3	1808	2347	1901	1455	1372	1099
ACTR3B	18	14	5	18	36	12
ACTR3BP2	0	0	0	0	0	0
ACTR3C	8	2	5	5	5	6
ACTR5	27	36	75	33	41	40
ACTR6	13	7	36	28	35	33
ACTR8	111	142	227	99	175	69
ACTRT1	0	0	0	0	0	0
ACTRT2	0	0	2	0	0	0
ACTRT3	0	0	1	0	0	1
ACVR1	46	44	107	16	23	17
ACVR1B	99	169	123	54	65	53
ACVR1C	15	11	11	5	17	9
ACVR2A	188	111	57	84	58	49
ACVR2B	32	29	35	20	26	11
ACVR2B-AS1	0	0	3	0	1	0
ACVRL1	3	2	0	0	0	0
ACY1	0	0	0	0	0	0
ACY3	2	4	0	0	1	3
ACYP1	6	9	0	7	13	5
ACYP2	20	15	6	10	9	14
AD000090.2	8	8	0	18	13	16
ADA	141	219	45	61	32	56
ADAD1	0	0	0	0	0	0
ADAD2	1	0	2	0	1	0
ADAL	16	23	40	16	42	19
ADAM10	761	859	523	216	363	194
ADAM11	0	2	0	0	0	3
ADAM12	2	8	3	2	3	5
ADAM15	31	42	31	4	4	3
ADAM17	708	787	467	307	318	261
ADAM18	0	0	0	0	0	0
ADAM19	613	351	983	318	288	375
ADAM1A	13	16	49	18	52	20
ADAM2	0	0	0	0	0	0
ADAM20	5	0	1	3	13	1
ADAM20P1	2	3	0	5	6	0
ADAM21	0	1	1	0	3	2
ADAM21P1	0	0	0	1	1	0
ADAM22	23	19	35	20	31	13
ADAM23	3	7	1	9	1	12
ADAM28	958	232	501	1709	1738	1627
ADAM29	0	0	0	0	1	0
ADAM30	1	2	1	0	0	0
ADAM32	0	0	0	1	2	0
ADAM33	0	0	0	0	0	0
ADAM3A	0	0	0	0	0	0
ADAM6	0	0	0	0	0	0
ADAM7	2	0	0	0	0	0
ADAM8	272	361	164	152	114	119
ADAM9	233	241	115	184	98	147
ADAMDEC1	21	5	7	9	9	5
ADAMTS1	21	29	8	2	1	4
ADAMTS10	5	7	7	0	1	2
ADAMTS12	0	0	0	0	0	0
ADAMTS13	5	7	2	4	1	1
ADAMTS14	0	0	2	0	0	0
ADAMTS15	0	0	0	1	0	0
ADAMTS16	2	0	0	0	0	0
ADAMTS17	2	1	0	3	0	0
ADAMTS18	0	0	0	0	0	0
ADAMTS19	0	0	0	0	0	0
ADAMTS2	1	0	0	0	0	0
ADAMTS20	0	0	0	0	0	0
ADAMTS3	0	3	26	0	0	0
ADAMTS4	1	0	0	0	0	0
ADAMTS5	12	6	1	2	0	0
ADAMTS6	20	8	13	30	52	40
ADAMTS7	0	0	0	1	2	0
ADAMTS7P1	0	0	0	0	0	1
ADAMTS8	0	0	0	1	0	0
ADAMTS9	0	0	0	0	0	0
ADAMTSL1	0	0	0	0	0	0
ADAMTSL2	0	0	0	0	0	0
ADAMTSL3	0	0	0	0	0	0
ADAMTSL4	58	51	16	16	13	12
ADAMTSL4-AS1	23	23	33	12	13	10
ADAMTSL5	0	0	1	0	0	0
ADAP1	24	33	15	6	5	3
ADAP2	50	56	47	29	38	17
ADAR	1191	1123	1296	1185	1443	1266
ADARB1	165	80	192	88	97	123
ADARB2	0	0	4	0	0	1
ADARB2-AS1	0	0	0	0	0	0
ADAT1	26	43	33	48	71	38
ADAT2	72	66	61	77	97	91
ADAT3	6	5	6	3	1	1
ADC	4	5	17	0	2	0
ADCK1	9	11	10	1	6	4
ADCK2	49	40	33	16	43	12
ADCK3	129	116	200	113	143	111
ADCK4	8	5	15	4	2	5
ADCK5	5	2	0	4	2	5
ADCY1	4	2	21	11	6	2
ADCY10	2	2	1	1	2	2
ADCY10P1	50	15	40	28	24	13
ADCY2	2	0	0	0	0	0
ADCY3	96	61	92	117	149	177
ADCY4	13	9	9	2	8	8
ADCY5	0	0	1	0	2	1
ADCY6	1	2	0	0	0	1
ADCY7	425	571	380	159	152	192
ADCY8	0	0	0	0	0	0
ADCY9	136	217	94	12	14	15
ADCYAP1	1	2	0	0	0	3
ADCYAP1R1	0	0	0	0	0	0
ADD1	475	428	632	212	303	267
ADD2	85	40	26	29	41	53
ADD3	1566	1548	2057	538	815	743
ADD3-AS1	2	1	1	3	3	3
ADGB	0	0	1	0	0	0
ADH1A	0	0	0	0	0	0
ADH1B	0	0	0	0	0	0
ADH1C	0	0	0	0	0	0
ADH4	1	0	0	1	0	0
ADH5	109	100	114	67	159	109
ADH6	0	1	0	1	0	0
ADH7	0	0	0	0	0	0
ADHFE1	23	27	62	7	8	3
ADI1	113	115	116	56	94	78
ADIG	0	0	0	0	0	0
ADIPOQ	0	0	0	0	0	0
ADIPOQ-AS1	0	0	1	0	0	0
ADIPOR1	597	517	557	757	442	669
ADIPOR2	308	208	241	136	135	86
ADIRF	0	0	0	0	0	0
ADK	268	93	142	149	157	148
ADM	87	150	26	54	7	12
ADM2	18	9	32	4	2	2
ADM5	11	2	13	5	7	3
ADNP	1402	1037	1269	707	1094	646
ADNP2	450	316	388	374	289	429
ADO	51	50	69	83	65	56
ADORA1	0	0	1	0	0	0
ADORA2A	2	3	0	1	0	0
ADORA2A-AS1	89	91	19	29	21	10
ADORA2B	26	41	50	9	10	5
ADORA3	3	13	5	0	5	1
ADPGK	421	355	513	464	617	520
ADPGK-AS1	62	100	123	59	56	64
ADPRH	120	83	86	78	100	61
